term,rank
stop racism violence,8.14018932171961
track,8.139922585722863
despite,8.130289355974446
fake,8.119760619198951
message,8.099247083152195
respect,8.096363661894351
especially,8.095043732836144
build,8.08995167632311
distance,8.050114477972558
stay home,8.029665671534929
decide,8.026566987014595
thousand,8.016400180339481
critical,8.016355811488847
pst,7.991985425940269
twitter,7.986949996184629
currency,7.983708333221274
host,7.975497693909822
climate change,7.972866047497714
commit,7.964520543337017
form,7.95210010372012
movement,7.947162211135885
growth,7.925784329808721
friday,7.923913662209485
thread,7.91254211863544
asia,7.9056246237709695
send,7.897857071291105
violence asian crime,7.872814794577831
asian crime,7.872814794577831
dose fully vaccinate,7.8699901189842025
solution,7.869779415062789
front,7.8226445422723145
leadership,7.817503808069321
serious,7.817471846801948
episode,7.812699536495677
manufacturer,7.8043543521677226
press,7.783806332131306
model,7.748764181141714
probably,7.743007474890614
different,7.742125850915174
super,7.732332687079796
related,7.728368213528188
avoid,7.721672712705248
admit,7.717232387804071
told,7.703623324989402
johnson johnson,7.689780457669733
deliver,7.687555837978877
shit,7.684434487568101
pray,7.6840478821717415
hell,7.682910311342667
dear,7.682115093625187
propaganda,7.680372835943862
bjp,7.666999312854528
hey,7.655274760127179
political,7.6356296435259665
saturday,7.628661792395898
pst dose fully,7.626114080527178
pst dose,7.626114080527178
apr pst dose,7.626114080527178
apr pst,7.626114080527178
japan,7.613545630785631
district,7.606783149968075
forget,7.603262090432717
rest,7.598116101325873
gonna,7.597073926954072
less,7.573647368387232
design,7.571045409719287
energy,7.557384577124202
evidence,7.543699266548858
reduce,7.532244924768499
infect,7.521814110596859
five,7.503342340271223
priority,7.499095768766135
lift,7.476299623350009
responsible,7.473603061743344
date,7.458458967963113
prepare,7.442428740497648
worry,7.435268240321705
living,7.424902319899742
new case,7.412542626451001
program,7.4019407851415995
county,7.401104502126392
along,7.394454264279621
passport,7.392925341587512
partner,7.389098025909023
platform,7.386673286609779
approve,7.364740337749004
apply,7.364427210651408
seek,7.355405356449227
court,7.312676291986146
shoot,7.3067182658825205
antiasian,7.303913029407042
symptom,7.27308710119789
governor,7.271994832584206
financial,7.270964315183744
industry,7.2613131985292325
sorry,7.2589030766576945
shop,7.246461770737413
doubt,7.235042481813721
blood clot,7.234677275828523
walk,7.208715237945086
nearly,7.190542641783301
folk,7.187741602438209
employee,7.185822021946888
bank,7.175270604467154
facility,7.167226736686052
please help,7.1639557489600225
balaclava,7.157881552301457
infrastructure,7.151470637325477
alternative,7.131551927439063
bit,7.120064765043597
small,7.112981791402499
several,7.1061924319901255
body,7.102883965222658
security,7.0877631804598415
building,7.08583354698864
look like,7.080423642609541
parent,7.053091640151517
touch,7.022819041809328
mother,7.015856820470958
approach,7.013831172118731
tax,7.005190075607025
management,6.9955413951024905
ill,6.980232501123803
hot,6.947273390333301
relation,6.904452571733369
btc,6.902017756796276
arent,6.893954588228105
guess,6.8717613950266445
drharshvardhan,6.8624280306689505
second wave,6.857380803758308
blame,6.856649129528377
sick,6.854616723205443
verdict,6.84834732087075
cdc,6.831600233907294
website,6.829091058602106
ally,6.808014544425975
mrna,6.805070516866379
store,6.799029708143585
fauci,6.792842389210019
resident,6.790764638873735
troop,6.782334786703461
modi,6.7619084650307055
imagine,6.760553328151739
announcement,6.758329639225617
israel,6.7366575597236
currently,6.727720529300505
promise,6.726710105894807
produce,6.714977665220153
land,6.707425130236362
cdcgov,6.7056171182838105
announces,6.689843185405609
promote,6.679036042186106
ppl,6.673455381319002
flu,6.669662548812354
wiq,6.656780071900204
evil,6.653161605886962
reuters,6.647695549393306
music,6.64763103151806
murder,6.6471657474182395
joint,6.6376641172713375
simple,6.637292543676939
republican,6.630375203979923
justintrudeau,6.625082139455593
moment,6.620175701612292
progress,6.615761158335272
negative,6.5897177257796615
bitcoin,6.584116945460983
present,6.583540241855502
human right,6.583380264108911
beat,6.580654113973118
maybe,6.580126438865761
iots,6.573468528038997
train,6.561711788455701
though,6.521154635062408
roll,6.519555072779233
speech,6.5172856901367675
urge,6.510550881106907
massive,6.502143125546658
potential,6.498015206839452
sector,6.485820134567065
beijing,6.481867688883585
click,6.481858020347822
expand,6.477934585863368
carry,6.477566314905746
